Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Vermilion Parish, Louisiana",59865,25342,25342,0.42,Vermilion Parish,Louisiana
"Vernon Parish, Louisiana",49646,24554,24554,0.49,Vernon Parish,Louisiana
"Washington Parish, Louisiana",46435,20177,20177,0.43,Washington Parish,Louisiana
"Webster Parish, Louisiana",39242,18962,18962,0.48,Webster Parish,Louisiana
"West Baton Rouge Parish, Louisiana",26101,29697,29697,1.14,West Baton Rouge Parish,Louisiana
"West Carroll Parish, Louisiana",11041,22439,22439,2.03,West Carroll Parish,Louisiana
"West Feliciana Parish, Louisiana",15428,26945,26945,1.75,West Feliciana Parish,Louisiana
"Winn Parish, Louisiana",14313,22107,22107,1.54,Winn Parish,Louisiana
"Androscoggin County, Maine",107602,28956,28956,0.27,Androscoggin County,Maine
"Aroostook County, Maine",67809,25477,25477,0.38,Aroostook County,Maine
"Cumberland County, Maine",292307,40527,40527,0.14,Cumberland County,Maine
"Franklin County, Maine",29982,27252,27252,0.91,Franklin County,Maine
"Hancock County, Maine",54601,34361,34361,0.63,Hancock County,Maine
"Kennebec County, Maine",121753,30685,30685,0.25,Kennebec County,Maine
"Knox County, Maine",39759,33126,33126,0.83,Knox County,Maine
"Lincoln County, Maine",34201,33595,33595,0.98,Lincoln County,Maine
"Oxford County, Maine",57550,25464,25464,0.44,Oxford County,Maine
"Penobscot County, Maine",151774,28523,28523,0.19,Penobscot County,Maine
"Piscataquis County, Maine",16836,24074,24074,1.43,Piscataquis County,Maine
"Sagadahoc County, Maine",35452,34675,34675,0.98,Sagadahoc County,Maine
"Somerset County, Maine",50520,24386,24386,0.48,Somerset County,Maine
"Waldo County, Maine",39539,29674,29674,0.75,Waldo County,Maine
"Washington County, Maine",31491,25157,25157,0.8,Washington County,Maine
"York County, Maine",204316,36093,36093,0.18,York County,Maine
"Allegany County, Maryland",71445,23607,23607,0.33,Allegany County,Maryland
"Anne Arundel County, Maryland",571275,46629,46629,0.08,Anne Arundel County,Maryland
"Baltimore County, Maryland",828018,40105,40105,0.05,Baltimore County,Maryland
"Calvert County, Maryland",91511,45783,45783,0.5,Calvert County,Maryland
"Caroline County, Maryland",33049,29624,29624,0.9,Caroline County,Maryland
"Carroll County, Maryland",167699,42083,42083,0.25,Carroll County,Maryland
"Cecil County, Maryland",102552,34810,34810,0.34,Cecil County,Maryland
"Charles County, Maryland",159428,41717,41717,0.26,Charles County,Maryland
"Dorchester County, Maryland",32138,30293,30293,0.94,Dorchester County,Maryland
"Frederick County, Maryland",251422,43582,43582,0.17,Frederick County,Maryland
"Garrett County, Maryland",29235,30617,30617,1.05,Garrett County,Maryland
"Harford County, Maryland",252222,41147,41147,0.16,Harford County,Maryland
"Howard County, Maryland",318855,54628,54628,0.17,Howard County,Maryland
"Kent County, Maryland",19536,36813,36813,1.88,Kent County,Maryland
"Montgomery County, Maryland",1043530,54510,54510,0.05,Montgomery County,Maryland
"Prince George's County, Maryland",908670,37191,37191,0.04,Prince George's County,Maryland
"Queen Anne's County, Maryland",49632,44754,44754,0.9,Queen Anne's County,Maryland
"St. Mary's County, Maryland",112290,40354,40354,0.36,St. Mary's County,Maryland
"Somerset County, Maryland",25729,18772,18772,0.73,Somerset County,Maryland
"Talbot County, Maryland",37167,49136,49136,1.32,Talbot County,Maryland
"Washington County, Maryland",150109,30464,30464,0.2,Washington County,Maryland
"Wicomico County, Maryland",102539,28080,28080,0.27,Wicomico County,Maryland
"Worcester County, Maryland",51765,38080,38080,0.74,Worcester County,Maryland
"Baltimore city, Maryland",609032,31271,31271,0.05,Baltimore city,Maryland
"Barnstable County, Massachusetts",213496,44505,44505,0.21,Barnstable County,Massachusetts
"Berkshire County, Massachusetts",126425,35616,35616,0.28,Berkshire County,Massachusetts
"Bristol County, Massachusetts",561037,35747,35747,0.06,Bristol County,Massachusetts
"Dukes County, Massachusetts",17312,45990,45990,2.66,Dukes County,Massachusetts
"Essex County, Massachusetts",783676,42347,42347,0.05,Essex County,Massachusetts
"Franklin County, Massachusetts",70577,35908,35908,0.51,Franklin County,Massachusetts
"Hampden County, Massachusetts",467871,30346,30346,0.06,Hampden County,Massachusetts
"Hampshire County, Massachusetts",161032,34838,34838,0.22,Hampshire County,Massachusetts
"Middlesex County, Massachusetts",1600842,52228,52228,0.03,Middlesex County,Massachusetts
"Nantucket County, Massachusetts",11168,55398,55398,4.96,Nantucket County,Massachusetts
"Norfolk County, Massachusetts",700437,53889,53889,0.08,Norfolk County,Massachusetts
"Plymouth County, Massachusetts",515303,43412,43412,0.08,Plymouth County,Massachusetts
"Suffolk County, Massachusetts",796605,42765,42765,0.05,Suffolk County,Massachusetts
"Worcester County, Massachusetts",824772,37574,37574,0.05,Worcester County,Massachusetts
"Alcona County, Michigan",10353,25636,25636,2.48,Alcona County,Michigan
"Alger County, Michigan",9151,20851,20851,2.28,Alger County,Michigan
"Allegan County, Michigan",116143,29215,29215,0.25,Allegan County,Michigan
"Alpena County, Michigan",28520,25957,25957,0.91,Alpena County,Michigan
"Antrim County, Michigan",23206,31851,31851,1.37,Antrim County,Michigan
"Arenac County, Michigan",15070,24328,24328,1.61,Arenac County,Michigan
"Baraga County, Michigan",8421,22920,22920,2.72,Baraga County,Michigan
"Barry County, Michigan",60540,31760,31760,0.52,Barry County,Michigan
"Bay County, Michigan",104104,27469,27469,0.26,Bay County,Michigan
"Benzie County, Michigan",17615,29425,29425,1.67,Benzie County,Michigan
"Berrien County, Michigan",154133,30864,30864,0.2,Berrien County,Michigan
"Branch County, Michigan",43513,25279,25279,0.58,Branch County,Michigan
"Calhoun County, Michigan",134212,26855,26855,0.2,Calhoun County,Michigan
"Cass County, Michigan",51523,31295,31295,0.61,Cass County,Michigan
"Charlevoix County, Michigan",26188,33620,33620,1.28,Charlevoix County,Michigan
"Cheboygan County, Michigan",25418,26393,26393,1.04,Cheboygan County,Michigan
"Chippewa County, Michigan",37629,25086,25086,0.67,Chippewa County,Michigan
"Clare County, Michigan",30651,22573,22573,0.74,Clare County,Michigan
"Clinton County, Michigan",78389,34761,34761,0.44,Clinton County,Michigan
"Crawford County, Michigan",13892,26294,26294,1.89,Crawford County,Michigan
"Delta County, Michigan",36026,27632,27632,0.77,Delta County,Michigan
"Dickinson County, Michigan",25439,29656,29656,1.17,Dickinson County,Michigan
"Eaton County, Michigan",109456,33427,33427,0.31,Eaton County,Michigan
"Emmet County, Michigan",33104,34074,34074,1.03,Emmet County,Michigan
"Genesee County, Michigan",407875,27295,27295,0.07,Genesee County,Michigan
"Gladwin County, Michigan",25279,25657,25657,1.01,Gladwin County,Michigan
"Gogebic County, Michigan",15061,25555,25555,1.7,Gogebic County,Michigan
"Grand Traverse County, Michigan",92181,35405,35405,0.38,Grand Traverse County,Michigan
"Gratiot County, Michigan",40916,23616,23616,0.58,Gratiot County,Michigan
"Hillsdale County, Michigan",45757,25621,25621,0.56,Hillsdale County,Michigan
"Houghton County, Michigan",36070,23421,23421,0.65,Houghton County,Michigan
"Huron County, Michigan",31349,27852,27852,0.89,Huron County,Michigan
"Ingham County, Michigan",290587,29380,29380,0.1,Ingham County,Michigan
"Ionia County, Michigan",64300,24864,24864,0.39,Ionia County,Michigan
"Iosco County, Michigan",25197,25264,25264,1.0,Iosco County,Michigan
"Iron County, Michigan",11152,25944,25944,2.33,Iron County,Michigan
"Isabella County, Michigan",70688,23888,23888,0.34,Isabella County,Michigan
"Jackson County, Michigan",158636,28364,28364,0.18,Jackson County,Michigan
"Kalamazoo County, Michigan",262745,31975,31975,0.12,Kalamazoo County,Michigan
"Kalkaska County, Michigan",17585,24358,24358,1.39,Kalkaska County,Michigan
"Kent County, Michigan",648121,32524,32524,0.05,Kent County,Michigan
"Keweenaw County, Michigan",2111,34608,34608,16.39,Keweenaw County,Michigan
"Lake County, Michigan",11852,20461,20461,1.73,Lake County,Michigan
"Lapeer County, Michigan",88038,30344,30344,0.34,Lapeer County,Michigan
"Leelanau County, Michigan",21652,39073,39073,1.8,Leelanau County,Michigan
"Lenawee County, Michigan",98381,27850,27850,0.28,Lenawee County,Michigan
"Livingston County, Michigan",189754,40351,40351,0.21,Livingston County,Michigan
"Luce County, Michigan",6338,22350,22350,3.53,Luce County,Michigan
"Mackinac County, Michigan",10780,28966,28966,2.69,Mackinac County,Michigan
"Macomb County, Michigan",870325,32238,32238,0.04,Macomb County,Michigan
"Manistee County, Michigan",24457,26668,26668,1.09,Manistee County,Michigan
"Marquette County, Michigan",66686,27979,27979,0.42,Marquette County,Michigan
"Mason County, Michigan",28954,29549,29549,1.02,Mason County,Michigan
"Mecosta County, Michigan",43251,23431,23431,0.54,Mecosta County,Michigan
"Menominee County, Michigan",23074,27942,27942,1.21,Menominee County,Michigan
"Midland County, Michigan",83355,36142,36142,0.43,Midland County,Michigan
"Missaukee County, Michigan",15028,23838,23838,1.59,Missaukee County,Michigan
"Monroe County, Michigan",149727,31481,31481,0.21,Monroe County,Michigan
"Montcalm County, Michigan",63413,24200,24200,0.38,Montcalm County,Michigan
"Montmorency County, Michigan",9265,23958,23958,2.59,Montmorency County,Michigan
"Muskegon County, Michigan",173297,25435,25435,0.15,Muskegon County,Michigan
"Newaygo County, Michigan",48366,25451,25451,0.53,Newaygo County,Michigan
"Oakland County, Michigan",1253185,44629,44629,0.04,Oakland County,Michigan
"Oceana County, Michigan",26416,24345,24345,0.92,Oceana County,Michigan
"Ogemaw County, Michigan",20898,23787,23787,1.14,Ogemaw County,Michigan
"Ontonagon County, Michigan",5877,25022,25022,4.26,Ontonagon County,Michigan
"Osceola County, Michigan",23290,22692,22692,0.97,Osceola County,Michigan
"Oscoda County, Michigan",8248,24889,24889,3.02,Oscoda County,Michigan
"Otsego County, Michigan",24490,27234,27234,1.11,Otsego County,Michigan
"Ottawa County, Michigan",286558,31872,31872,0.11,Ottawa County,Michigan
"Presque Isle County, Michigan",12714,28103,28103,2.21,Presque Isle County,Michigan
"Roscommon County, Michigan",23851,25807,25807,1.08,Roscommon County,Michigan
"Saginaw County, Michigan",191821,28030,28030,0.15,Saginaw County,Michigan
"St. Clair County, Michigan",159247,30703,30703,0.19,St. Clair County,Michigan
"St. Joseph County, Michigan",60836,26248,26248,0.43,St. Joseph County,Michigan
"Sanilac County, Michigan",41295,25871,25871,0.63,Sanilac County,Michigan
"Schoolcraft County, Michigan",8048,24647,24647,3.06,Schoolcraft County,Michigan
"Shiawassee County, Michigan",68340,28437,28437,0.42,Shiawassee County,Michigan
"Tuscola County, Michigan",52939,25996,25996,0.49,Tuscola County,Michigan
"Van Buren County, Michigan",75358,28049,28049,0.37,Van Buren County,Michigan
"Washtenaw County, Michigan",367000,41399,41399,0.11,Washtenaw County,Michigan
"Wayne County, Michigan",1757299,27282,27282,0.02,Wayne County,Michigan
"Wexford County, Michigan",33256,25149,25149,0.76,Wexford County,Michigan
"Aitkin County, Minnesota",15834,29275,29275,1.85,Aitkin County,Minnesota
"Anoka County, Minnesota",350253,36978,36978,0.11,Anoka County,Minnesota
"Becker County, Minnesota",34011,31729,31729,0.93,Becker County,Minnesota
"Beltrami County, Minnesota",46403,25418,25418,0.55,Beltrami County,Minnesota
"Benton County, Minnesota",40129,29831,29831,0.74,Benton County,Minnesota
"Big Stone County, Minnesota",4996,29459,29459,5.9,Big Stone County,Minnesota
"Blue Earth County, Minnesota",66795,29677,29677,0.44,Blue Earth County,Minnesota
"Brown County, Minnesota",25163,31237,31237,1.24,Brown County,Minnesota
"Carlton County, Minnesota",35633,29440,29440,0.83,Carlton County,Minnesota
"Carver County, Minnesota",101949,47221,47221,0.46,Carver County,Minnesota
"Cass County, Minnesota",29268,30326,30326,1.04,Cass County,Minnesota
"Chippewa County, Minnesota",11953,30772,30772,2.57,Chippewa County,Minnesota
"Chisago County, Minnesota",55315,35021,35021,0.63,Chisago County,Minnesota
"Clay County, Minnesota",63446,30768,30768,0.48,Clay County,Minnesota
"Clearwater County, Minnesota",8821,27178,27178,3.08,Clearwater County,Minnesota
"Cook County, Minnesota",5376,33194,33194,6.17,Cook County,Minnesota
"Cottonwood County, Minnesota",11299,27459,27459,2.43,Cottonwood County,Minnesota
"Crow Wing County, Minnesota",64217,32368,32368,0.5,Crow Wing County,Minnesota
"Dakota County, Minnesota",421453,41552,41552,0.1,Dakota County,Minnesota
"Dodge County, Minnesota",20669,34399,34399,1.66,Dodge County,Minnesota
"Douglas County, Minnesota",37513,36535,36535,0.97,Douglas County,Minnesota
"Faribault County, Minnesota",13801,29991,29991,2.17,Faribault County,Minnesota
"Fillmore County, Minnesota",20949,30392,30392,1.45,Fillmore County,Minnesota
"Freeborn County, Minnesota",30463,29316,29316,0.96,Freeborn County,Minnesota
"Goodhue County, Minnesota",46246,34803,34803,0.75,Goodhue County,Minnesota
"Grant County, Minnesota",5935,32871,32871,5.54,Grant County,Minnesota
"Hennepin County, Minnesota",1245837,45768,45768,0.04,Hennepin County,Minnesota
"Houston County, Minnesota",18648,33032,33032,1.77,Houston County,Minnesota
"Hubbard County, Minnesota",21019,29896,29896,1.42,Hubbard County,Minnesota
"Isanti County, Minnesota",39430,34054,34054,0.86,Isanti County,Minnesota
"Itasca County, Minnesota",45141,30286,30286,0.67,Itasca County,Minnesota
"Jackson County, Minnesota",9954,34325,34325,3.45,Jackson County,Minnesota
"Kanabec County, Minnesota",16089,28427,28427,1.77,Kanabec County,Minnesota
"Kandiyohi County, Minnesota",42841,31039,31039,0.72,Kandiyohi County,Minnesota
"Kittson County, Minnesota",4311,30539,30539,7.08,Kittson County,Minnesota
"Koochiching County, Minnesota",12515,29834,29834,2.38,Koochiching County,Minnesota
"Lac qui Parle County, Minnesota",6719,32437,32437,4.83,Lac qui Parle County,Minnesota
"Lake County, Minnesota",10560,34207,34207,3.24,Lake County,Minnesota
"Lake of the Woods County, Minnesota",3771,25640,25640,6.8,Lake of the Woods County,Minnesota
"Le Sueur County, Minnesota",28242,33311,33311,1.18,Le Sueur County,Minnesota
"Lincoln County, Minnesota",5677,30253,30253,5.33,Lincoln County,Minnesota
"Lyon County, Minnesota",25758,29634,29634,1.15,Lyon County,Minnesota
"McLeod County, Minnesota",35832,32465,32465,0.91,McLeod County,Minnesota
"Mahnomen County, Minnesota",5501,21279,21279,3.87,Mahnomen County,Minnesota
"Marshall County, Minnesota",9372,30746,30746,3.28,Marshall County,Minnesota
"Martin County, Minnesota",19852,31066,31066,1.56,Martin County,Minnesota
"Meeker County, Minnesota",23105,32368,32368,1.4,Meeker County,Minnesota
"Mille Lacs County, Minnesota",25865,27758,27758,1.07,Mille Lacs County,Minnesota
"Morrison County, Minnesota",33064,29680,29680,0.9,Morrison County,Minnesota
"Mower County, Minnesota",39807,29720,29720,0.75,Mower County,Minnesota
"Murray County, Minnesota",8296,31874,31874,3.84,Murray County,Minnesota
"Nicollet County, Minnesota",33954,33031,33031,0.97,Nicollet County,Minnesota
"Nobles County, Minnesota",21734,25939,25939,1.19,Nobles County,Minnesota
"Norman County, Minnesota",6520,30422,30422,4.67,Norman County,Minnesota
"Olmsted County, Minnesota",154809,41066,41066,0.27,Olmsted County,Minnesota
"Otter Tail County, Minnesota",58195,32059,32059,0.55,Otter Tail County,Minnesota
"Pennington County, Minnesota",14183,31159,31159,2.2,Pennington County,Minnesota
"Pine County, Minnesota",29223,26407,26407,0.9,Pine County,Minnesota
"Pipestone County, Minnesota",9191,30540,30540,3.32,Pipestone County,Minnesota
"Polk County, Minnesota",31521,30078,30078,0.95,Polk County,Minnesota
"Pope County, Minnesota",11048,34166,34166,3.09,Pope County,Minnesota
"Ramsey County, Minnesota",544442,35013,35013,0.06,Ramsey County,Minnesota
"Red Lake County, Minnesota",4015,30037,30037,7.48,Red Lake County,Minnesota
"Redwood County, Minnesota",15261,28611,28611,1.87,Redwood County,Minnesota
"Renville County, Minnesota",14652,31253,31253,2.13,Renville County,Minnesota
"Rice County, Minnesota",66185,31221,31221,0.47,Rice County,Minnesota
"Rock County, Minnesota",9402,31345,31345,3.33,Rock County,Minnesota
"Roseau County, Minnesota",15361,30193,30193,1.97,Roseau County,Minnesota
"St. Louis County, Minnesota",199759,31537,31537,0.16,St. Louis County,Minnesota
"Scott County, Minnesota",145275,42155,42155,0.29,Scott County,Minnesota
"Sherburne County, Minnesota",94463,35439,35439,0.38,Sherburne County,Minnesota
"Sibley County, Minnesota",14892,32016,32016,2.15,Sibley County,Minnesota
"Stearns County, Minnesota",158452,30994,30994,0.2,Stearns County,Minnesota
"Steele County, Minnesota",36683,32477,32477,0.89,Steele County,Minnesota
"Stevens County, Minnesota",9789,32542,32542,3.32,Stevens County,Minnesota
"Swift County, Minnesota",9359,31765,31765,3.39,Swift County,Minnesota
"Todd County, Minnesota",24494,26678,26678,1.09,Todd County,Minnesota
"Traverse County, Minnesota",3311,32548,32548,9.83,Traverse County,Minnesota
"Wabasha County, Minnesota",21537,34442,34442,1.6,Wabasha County,Minnesota
"Wadena County, Minnesota",13654,24214,24214,1.77,Wadena County,Minnesota
"Waseca County, Minnesota",18740,29929,29929,1.6,Waseca County,Minnesota
"Washington County, Minnesota",255938,45822,45822,0.18,Washington County,Minnesota
"Watonwan County, Minnesota",10972,28341,28341,2.58,Watonwan County,Minnesota
"Wilkin County, Minnesota",6291,34543,34543,5.49,Wilkin County,Minnesota
"Winona County, Minnesota",50725,30013,30013,0.59,Winona County,Minnesota
"Wright County, Minnesota",134438,36260,36260,0.27,Wright County,Minnesota
"Yellow Medicine County, Minnesota",9814,29908,29908,3.05,Yellow Medicine County,Minnesota
"Adams County, Mississippi",31266,18386,18386,0.59,Adams County,Mississippi
"Alcorn County, Mississippi",37090,23909,23909,0.64,Alcorn County,Mississippi
"Amite County, Mississippi",12412,21568,21568,1.74,Amite County,Mississippi
"Attala County, Mississippi",18437,21276,21276,1.15,Attala County,Mississippi
"Benton County, Mississippi",8232,20643,20643,2.51,Benton County,Mississippi
"Bolivar County, Mississippi",31848,18843,18843,0.59,Bolivar County,Mississippi
"Calhoun County, Mississippi",14499,19229,19229,1.33,Calhoun County,Mississippi
"Carroll County, Mississippi",10070,22385,22385,2.22,Carroll County,Mississippi
"Chickasaw County, Mississippi",17193,19926,19926,1.16,Chickasaw County,Mississippi
"Choctaw County, Mississippi",8277,22257,22257,2.69,Choctaw County,Mississippi
"Claiborne County, Mississippi",9089,14320,14320,1.58,Claiborne County,Mississippi
"Clarke County, Mississippi",15770,23988,23988,1.52,Clarke County,Mississippi
"Clay County, Mississippi",19640,20599,20599,1.05,Clay County,Mississippi
"Coahoma County, Mississippi",23255,18985,18985,0.82,Coahoma County,Mississippi
"Copiah County, Mississippi",28501,20093,20093,0.7,Copiah County,Mississippi
"Covington County, Mississippi",18978,19180,19180,1.01,Covington County,Mississippi
