Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Lafayette County, Arkansas",6800,25876,25876,3.81,Lafayette County,Arkansas
"Lawrence County, Arkansas",16549,21473,21473,1.3,Lawrence County,Arkansas
"Lee County, Arkansas",9194,16968,16968,1.85,Lee County,Arkansas
"Lincoln County, Arkansas",13455,14764,14764,1.1,Lincoln County,Arkansas
"Little River County, Arkansas",12347,25759,25759,2.09,Little River County,Arkansas
"Logan County, Arkansas",21668,21491,21491,0.99,Logan County,Arkansas
"Lonoke County, Arkansas",72528,27293,27293,0.38,Lonoke County,Arkansas
"Madison County, Arkansas",16211,24356,24356,1.5,Madison County,Arkansas
"Marion County, Arkansas",16476,21395,21395,1.3,Marion County,Arkansas
"Miller County, Arkansas",43572,23729,23729,0.54,Miller County,Arkansas
"Mississippi County, Arkansas",42126,22750,22750,0.54,Mississippi County,Arkansas
"Monroe County, Arkansas",7050,23538,23538,3.34,Monroe County,Arkansas
"Montgomery County, Arkansas",8950,22631,22631,2.53,Montgomery County,Arkansas
"Nevada County, Arkansas",8351,19912,19912,2.38,Nevada County,Arkansas
"Newton County, Arkansas",7812,19735,19735,2.53,Newton County,Arkansas
"Ouachita County, Arkansas",23830,21562,21562,0.9,Ouachita County,Arkansas
"Perry County, Arkansas",10355,23164,23164,2.24,Perry County,Arkansas
"Phillips County, Arkansas",18606,18651,18651,1.0,Phillips County,Arkansas
"Pike County, Arkansas",10756,23362,23362,2.17,Pike County,Arkansas
"Poinsett County, Arkansas",23896,20963,20963,0.88,Poinsett County,Arkansas
"Polk County, Arkansas",20094,23103,23103,1.15,Polk County,Arkansas
"Pope County, Arkansas",63761,23391,23391,0.37,Pope County,Arkansas
